Order ID,Return request date,ASIN,Merchant SKU,Item Name,Return quantity,Return Reason
111-5702029-0101866,01/20/25,B081J5RCGG,204187-FlappyDog-YS,Flappy Dog Animated Puppy Ears Ugly Christmas Sweater (Youth Small),1,CR-DEFECTIVE
114-3148500-8584250,01/20/25,B0BCXMYWXH,103007-WrestlingBoots-L,Costume Agent Matte Black Wrestling Boots Halloween Cosplay,1,CR-MISSED_ESTIMATED_DELIVERY
112-6376178-1196202,01/20/25,B008XJ88FE,karatekiddanielcostumetdlxXL-Deluxe-XL,Karate Kid The DELUXE Daniel Mens Replica Gi Costume (X-Large),1,CR-UNWANTED_ITEM
114-1165911-9061815,01/20/25,B09HJJNTGL,220079-SharkChubSuitBlue-YOUTH,"Costume Agent Shark Chub Suit Inflatable Adult Halloween (Youth, Blue)",1,AMZ-PG-APP-TOO-SMALL
111-8473898-1500228,01/20/25,B0BG3F81FB,220944-BarfCostumeSet-L-XL,Costume Agent Space Balls Barf Halloween Cosplay Costume Set - L-XL - Space Balls Costumes for Men & Women - Barf Spaceballs Costume - Halloween Costumes Men & Women,1,AMZ-PG-APP-TOO-LARGE
111-6703695-0019448,01/20/25,B00275IHS8,flinttropicscostume,Flint Tropics Semi Pro Jackie Moon Basketball Uniform Costume,1,AMZ-PG-APP-TOO-SMALL
114-9583330-2732257,01/20/25,B005Y4I6VW,fearloathingglasses,Costume Agent Fear and Loathing in Las Vegas Hunter S. Thompson Costume Sunglasses - Classic Large Metal Frame Sun Glasses for Adult,1,CR-UNWANTED_ITEM
114-4791034-3162669,01/20/25,B09HCRCTSL,220823-PinkBunny-KIDS-10/12,Kids/Youth/Toddler Christmas Pink Bunny Jumpsuit Halloween Christmas Costume,1,CR-UNWANTED_ITEM
112-9294952-1920269,01/20/25,B0B9CC7R59,220888-ToddMargoShinySuit-L-XL,Costume Agent Todd & Margo Shiny Silver Workout Top and Pants Deluxe Sweatsuit Set for Halloween & Cosplay,1,CR-UNWANTED_ITEM
114-8966112-5266659,01/20/25,B0CW21GC9Z,WR0567-59-ShittersFullPajama-XL,"COCO BRANDS National Lampoon's Christmas Vacation Cousin Eddie RV Shitters Full Pajama Jumpsuit (US, Alpha, X-Large, Regular, Regular, Blue)",1,DID_NOT_LIKE_FABRIC
113-0049872-9780259,01/20/25,B0CBVWG7TC,uglysweater60N-L,"Ripple Junction Seinfeld Festivus for The Rest of Us Pole Cream Ugly Christmas Sweater (as1, Alpha, l, Regular, Regular)",1,AMZ-PG-APP-TOO-SMALL
113-8383712-0098627,01/20/25,B0CBVWG7TC,uglysweater60N-L,"Ripple Junction Seinfeld Festivus for The Rest of Us Pole Cream Ugly Christmas Sweater (as1, Alpha, l, Regular, Regular)",1,AMZ-PG-APP-TOO-LARGE
114-4427226-2002647,01/20/25,B001QWXAE4,flinttropicssocks,flint tropics Semi-pro Jackie Moon Tube Socks,1,CR-UNWANTED_ITEM
112-4573737-2966651,01/20/25,B01LBRLB2G,100576BLACK-L,Costume Agent Pirate Boots Adventure Footwear Halloween Costume Cosplay Accessory - Black - Large - Pirate Carribean Pirate Boot Men - Men's Tall Boots - Mens Cosplay Boots,1,CR-UNWANTED_ITEM
113-9811038-3396219,01/20/25,B005Y4I6VW,fearloathingglasses,Costume Agent Fear and Loathing in Las Vegas Hunter S. Thompson Costume Sunglasses - Classic Large Metal Frame Sun Glasses for Adult,1,AMZ-PG-APP-STYLE
111-0593538-4370610,01/20/25,B09JWVTPP8,204092-RainbowCardigan-3XL,Golf Rainbow Cardigan Sweater Caddy Halloween Costume Cosplay (XXX-Large),1,CR-MISSED_ESTIMATED_DELIVERY
